,SR_Component,mean_stdev_difference
59,"Sodium, Na",0.007679130950681703
61,Stigmasterol,0.022524703987915545
17,Cholesterol,0.026163243511257244
9,Ash,0.027517638939827446
67,"Tocopherol, delta",0.028862187084652123
38,Lactose,0.029952700635761793
87,Water,0.03353520584419204
73,Total lipid (fat),0.06143035652420832
44,Maltose,0.061477966735340464
23,Energy,0.06196025364585159
54,Protein,0.06403171757685112
15,"Carbohydrate, by difference",0.06846466200749189
68,"Tocopherol, gamma",0.06879666351745428
60,Starch,0.0690631038749765
13,"Calcium, Ca",0.07017875270535812
72,"Tocotrienol, gamma",0.07874992309581577
11,Beta-sitosterol,0.08120260031461603
3,16:00,0.08194744313085636
18,"Choline, total",0.08196205563210963
14,Campesterol,0.08212217208342593
58,Serine,0.08461894513831807
21,Cystine,0.08663476591295208
26,"Fatty acids, total saturated",0.09133912752690643
25,"Fatty acids, total polyunsaturated",0.09271958418350477
12,Betaine,0.09387886820764652
2,14:00,0.09619703440168682
31,Galactose,0.0985184335622636
24,"Fatty acids, total monounsaturated",0.101905346781906
39,Leucine,0.1079816045832831
8,Arginine,0.11204343754306373
42,Lysine,0.11535264909456246
37,Isoleucine,0.11714080677292925
51,"Phosphorus, P",0.11777630898455878
74,Tryptophan,0.11786407912571724
43,"Magnesium, Mg",0.11798918593258727
35,Histidine,0.127603122985393
30,Fructose,0.133101022622064
32,Glucose (dextrose),0.1331620788554196
47,Methionine,0.13665463986490392
34,Glycine,0.13692966953333216
50,Phenylalanine,0.14048297045988525
48,Niacin,0.14071354472236255
75,Tyrosine,0.1428304266669996
65,Threonine,0.14376988853305853
33,Glutamic acid,0.14456872521971828
76,Valine,0.14466805178083067
52,"Potassium, K",0.14662515745939597
6,22:00,0.15339659015369436
7,Alanine,0.1548045534234575
77,"Vitamin A, RAE",0.15718154314284677
85,Vitamin E (alpha-tocopherol),0.1635389825705855
55,Retinol,0.164458894123401
88,"Zinc, Zn",0.16455818030200522
53,Proline,0.16994132229449269
10,Aspartic acid,0.17458539758943956
62,Sucrose,0.17515175287399784
46,Menaquinone-4,0.18156825980064073
36,"Iron, Fe",0.18339647785789717
84,Vitamin D3 (cholecalciferol),0.1911534750980956
45,"Manganese, Mn",0.19299979641201415
5,20:00,0.19717901669520052
86,Vitamin K (phylloquinone),0.20829611996402594
20,"Cryptoxanthin, beta",0.21757131728816848
28,"Fiber, total dietary",0.23455403158469532
19,"Copper, Cu",0.2384485647520126
41,Lycopene,0.24253562503633297
4,18:00,0.24677391569004
80,"Vitamin C, total ascorbic acid",0.24684430649197714
66,"Tocopherol, beta",0.2541379417114885
1,12:00,0.2555651407098748
70,"Tocotrienol, beta",0.26667706186784657
16,"Carotene, beta",0.2863953849197071
29,"Folate, total",0.3115338299124493
63,"Sugars, total",0.3129973492719164
56,Riboflavin,0.3167207860390216
27,"Fatty acids, total trans",0.32944232288030967
64,Thiamin,0.3339504590124677
71,"Tocotrienol, delta",0.33541019662496835
57,"Selenium, Se",0.3913060110339806
82,Vitamin D (D2 + D3),0.4005714641392049
81,Vitamin D,0.40157157526364784
79,Vitamin B-6,0.40491538481560185
78,Vitamin B-12,0.4324322934084902
69,"Tocotrienol, alpha",0.51913093966295
0,10:00,0.530164847059247
49,Pantothenic acid,2.0032522034857796
83,Vitamin D2 (ergocalciferol),3.89015802112869
22,Dihydrophylloquinone,
40,Lutein + zeaxanthin,
